PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=179 ttl=114 time=31.5 ms
64 bytes from 8.8.8.8: icmp_seq=180 ttl=114 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=181 ttl=114 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=182 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=183 ttl=114 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=184 ttl=114 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=185 ttl=114 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=186 ttl=114 time=29.5 ms
64 bytes from 8.8.8.8: icmp_seq=187 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=188 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=189 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=190 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=191 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=192 ttl=114 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=193 ttl=114 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=194 ttl=114 time=30.9 ms
64 bytes from 8.8.8.8: icmp_seq=195 ttl=114 time=55.0 ms
64 bytes from 8.8.8.8: icmp_seq=196 ttl=114 time=34.0 ms
64 bytes from 8.8.8.8: icmp_seq=197 ttl=114 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=198 ttl=114 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=199 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=200 ttl=114 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=201 ttl=114 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=202 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=203 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=204 ttl=114 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=205 ttl=114 time=29.1 ms
64 bytes from 8.8.8.8: icmp_seq=206 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=207 ttl=114 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=208 ttl=114 time=60.7 ms
64 bytes from 8.8.8.8: icmp_seq=209 ttl=114 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=210 ttl=114 time=57.2 ms
64 bytes from 8.8.8.8: icmp_seq=211 ttl=114 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=212 ttl=114 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=213 ttl=114 time=52.9 ms
64 bytes from 8.8.8.8: icmp_seq=214 ttl=114 time=32.8 ms
64 bytes from 8.8.8.8: icmp_seq=215 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=216 ttl=114 time=50.2 ms
64 bytes from 8.8.8.8: icmp_seq=217 ttl=114 time=33.2 ms
64 bytes from 8.8.8.8: icmp_seq=218 ttl=114 time=41.1 ms
64 bytes from 8.8.8.8: icmp_seq=219 ttl=114 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=220 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=221 ttl=114 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=222 ttl=114 time=44.6 ms
64 bytes from 8.8.8.8: icmp_seq=223 ttl=114 time=28.2 ms
64 bytes from 8.8.8.8: icmp_seq=224 ttl=114 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=225 ttl=114 time=47.1 ms
64 bytes from 8.8.8.8: icmp_seq=226 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=227 ttl=114 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=228 ttl=114 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=229 ttl=114 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=230 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=231 ttl=114 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=232 ttl=114 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=233 ttl=114 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=234 ttl=114 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=235 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=236 ttl=114 time=29.0 ms
64 bytes from 8.8.8.8: icmp_seq=237 ttl=114 time=49.1 ms
64 bytes from 8.8.8.8: icmp_seq=238 ttl=114 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=239 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=240 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=241 ttl=114 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=242 ttl=114 time=63.8 ms
64 bytes from 8.8.8.8: icmp_seq=243 ttl=114 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=244 ttl=114 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=245 ttl=114 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=246 ttl=114 time=59.5 ms
64 bytes from 8.8.8.8: icmp_seq=247 ttl=114 time=65.7 ms
64 bytes from 8.8.8.8: icmp_seq=248 ttl=114 time=77.8 ms
64 bytes from 8.8.8.8: icmp_seq=249 ttl=114 time=58.0 ms
64 bytes from 8.8.8.8: icmp_seq=250 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=251 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=252 ttl=114 time=44.6 ms
64 bytes from 8.8.8.8: icmp_seq=253 ttl=114 time=276 ms
64 bytes from 8.8.8.8: icmp_seq=254 ttl=114 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=255 ttl=114 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=256 ttl=114 time=50.7 ms
64 bytes from 8.8.8.8: icmp_seq=257 ttl=114 time=31.6 ms
